NUM_MPM;COD_PAY_ENTR;COD_STE_ENTR;COD_GARE_ENTR;LIB_GARE_ENT;COD_PAY_SOR;COD_STE_SOR;COD_GARE_SOR;LIB_GAR_SOR;HRD_SOR;DATE_SOR
25004902265700003;250;06;006;CANNET DES MAURES;250;06;009;CAPITOU;27/01/2015 14:35:00;201501271435
25004902265700003;250;06;009;CAPITOU;250;06;036;PONT DE L ETOILE;27/01/2015 19:16:00;201501271916
25004902265700003;250;06;009;CAPITOU;250;06;008;PUGET ECHANGEUR;29/01/2015 19:55:00;201501291955
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;20/01/2015 17:30:00;201501201730
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;30/01/2015 06:08:00;201501300608
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;05/01/2015 21:04:00;201501052104
25004902265700003;000;00;000;;250;06;010;FREJUS;07/01/2015 20:17:00;201501072017
25004902265700003;250;06;007;LE MUY;250;06;036;PONT DE L ETOILE;13/01/2015 08:35:00;201501130835
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;10/01/2015 08:06:00;201501100806
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;11/01/2015 21:48:00;201501112148
25004902265700003;250;06;042;PUGET VILLE;250;06;006;CANNET DES MAURES;29/01/2015 13:18:00;201501291318
25004902265700003;000;00;000;;250;06;010;FREJUS;12/01/2015 19:40:00;201501121940
25004902265700003;250;06;004;ST.MAXIMIN;250;06;002;LA BARQUE;16/01/2015 17:17:00;201501161717
25004902265700003;000;00;000;;250;06;010;FREJUS;22/01/2015 08:08:00;201501220808
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;05/01/2015 12:16:00;201501051216
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;30/01/2015 21:44:00;201501302144
25004902265700003;250;06;009;CAPITOU;250;06;002;LA BARQUE;09/01/2015 14:00:00;201501091400
25004902265700003;000;00;000;;250;06;034;LA CIOTAT ECH.;13/01/2015 08:44:00;201501130844
25004902265700003;250;06;009;CAPITOU;250;06;008;PUGET ECHANGEUR;26/01/2015 20:25:00;201501262025
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;15/01/2015 06:11:00;201501150611
25004902265700003;000;00;000;;250;06;010;FREJUS;29/01/2015 08:05:00;201501290805
25004902265700003;000;00;000;;250;06;010;FREJUS;05/01/2015 08:07:00;201501050807
25004902265700003;000;00;000;;250;06;010;FREJUS;13/01/2015 20:09:00;201501132009
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;15/01/2015 23:54:00;201501152354
25004902265700003;000;00;000;;250;06;031;BANDOL P/V;13/01/2015 14:32:00;201501131432
25004902265700003;000;00;000;;250;06;010;FREJUS;06/01/2015 08:26:00;201501060826
25004902265700003;000;00;000;;250;06;010;FREJUS;21/01/2015 20:16:00;201501212016
25004902265700003;000;00;000;;250;06;010;FREJUS;09/01/2015 07:53:00;201501090753
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;23/01/2015 09:50:00;201501230950
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;07/01/2015 17:58:00;201501071758
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;16/01/2015 20:34:00;201501162034
25004902265700003;250;06;002;LA BARQUE;250;06;009;CAPITOU;26/01/2015 13:29:00;201501261329
25004902265700003;000;00;000;;250;06;010;FREJUS;14/01/2015 19:17:00;201501141917
25004902265700003;250;06;009;CAPITOU;250;06;004;ST.MAXIMIN;16/01/2015 16:56:00;201501161656
25004902265700003;250;06;007;LE MUY;250;06;006;CANNET DES MAURES;27/01/2015 08:55:00;201501270855
25004902265700003;250;06;042;PUGET VILLE;250;06;009;CAPITOU;13/01/2015 15:23:00;201501131523
25004902265700003;250;06;002;LA BARQUE;250;06;004;ST.MAXIMIN;19/01/2015 15:52:00;201501191552
25004902265700003;250;06;009;CAPITOU;250;06;042;PUGET VILLE;29/01/2015 10:49:00;201501291049
25004902265700003;000;00;000;;250;06;010;FREJUS;15/01/2015 05:53:00;201501150553
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;23/01/2015 20:35:00;201501232035
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;21/01/2015 15:14:00;201501211514
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;25/01/2015 21:19:00;201501252119
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;09/01/2015 22:41:00;201501092241
25004902265700003;250;06;002;LA BARQUE;250;06;009;CAPITOU;28/01/2015 13:14:00;201501281314
25004902265700003;250;06;002;LA BARQUE;250;06;009;CAPITOU;12/01/2015 15:58:00;201501121558
25004902265700003;000;00;000;;250;06;010;FREJUS;28/01/2015 19:14:00;201501281914
25004902265700003;000;00;000;;250;06;010;FREJUS;31/01/2015 16:24:00;201501311624
25004902265700003;000;00;000;;250;06;010;FREJUS;08/01/2015 08:15:00;201501080815
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;06/01/2015 17:43:00;201501061743
25004902265700003;250;06;006;CANNET DES MAURES;250;06;009;CAPITOU;29/01/2015 14:10:00;201501291410
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;03/01/2015 20:02:00;201501032002
25004902265700003;000;00;000;;250;06;010;FREJUS;16/02/2015 07:56:00;201502160756
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;25/02/2015 18:22:00;201502251822
25004902265700003;250;06;009;CAPITOU;250;06;036;PONT DE L ETOILE;24/02/2015 10:11:00;201502241011
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;27/02/2015 18:32:00;201502271832
25004902265700003;000;00;000;;250;06;010;FREJUS;25/02/2015 19:28:00;201502251928
25004902265700003;000;00;000;;250;06;010;FREJUS;08/02/2015 15:38:00;201502081538
25004902265700003;250;06;055;MEYRARGUES;250;06;070;LA SAULCE;28/02/2015 09:41:00;201502280941
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;17/02/2015 13:42:00;201502171342
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;18/02/2015 20:57:00;201502182057
25004902265700003;250;06;009;CAPITOU;250;06;002;LA BARQUE;06/02/2015 17:52:00;201502061752
25004902265700003;000;00;000;;250;06;010;FREJUS;19/02/2015 08:09:00;201502190809
25004902265700003;000;00;000;;250;06;010;FREJUS;24/02/2015 08:05:00;201502240805
25004902265700003;000;00;000;;250;06;010;FREJUS;26/02/2015 08:12:00;201502260812
