NUM_MPM;COD_PAY_ENTR;COD_STE_ENTR;COD_GARE_ENTR;LIB_GARE_ENT;COD_PAY_SOR;COD_STE_SOR;COD_GARE_SOR;LIB_GAR_SOR;HRD_SOR;DATE_SOR;HRD_ENTR;DATE_ENTR
25004903965600001;000;00;000;;250;06;010;FREJUS;08/05/2014 17:45:00;201405081745;;
25004903965600001;000;00;000;;250;06;010;FREJUS;04/05/2014 15:47:00;201405041547;;
25004903965600001;000;00;000;;250;06;010;FREJUS;05/05/2014 18:33:00;201405051833;;
25004903965600001;000;00;000;;250;06;010;FREJUS;09/05/2014 08:24:00;201405090824;;
25004903965600001;000;00;000;;250;06;010;FREJUS;08/05/2014 14:10:00;201405081410;;
25004903965600001;000;00;000;;250;06;010;FREJUS;05/05/2014 08:46:00;201405050846;;
25004903965600001;000;00;000;;250;06;010;FREJUS;13/05/2014 18:38:00;201405131838;;
25004903965600001;000;00;000;;250;06;010;FREJUS;01/05/2014 07:33:00;201405010733;;
25004903965600001;000;00;000;;250;06;010;FREJUS;09/05/2014 14:03:00;201405091403;;
25004903965600001;000;00;000;;250;06;010;FREJUS;30/05/2014 11:23:00;201405301123;;
25004903965600001;000;00;000;;250;06;010;FREJUS;28/05/2014 08:37:00;201405280837;;
25004903965600001;000;00;000;;250;06;010;FREJUS;13/05/2014 08:14:00;201405130814;;
25004903965600001;000;00;000;;250;06;010;FREJUS;23/06/2014 08:29:00;201406230829;;
25004903965600001;000;00;000;;250;06;010;FREJUS;05/06/2014 08:31:00;201406050831;;
25004903965600001;000;00;000;;250;06;010;FREJUS;12/06/2014 08:26:00;201406120826;;
25004903965600001;000;00;000;;250;06;010;FREJUS;20/06/2014 18:41:00;201406201841;;
25004903965600001;000;00;000;;250;06;010;FREJUS;12/06/2014 19:53:00;201406121953;;
25004903965600001;000;00;000;;250;06;010;FREJUS;20/06/2014 08:32:00;201406200832;;
25004903965600001;000;00;000;;250;06;010;FREJUS;23/06/2014 19:26:00;201406231926;;
25004903965600001;000;00;000;;250;06;010;FREJUS;05/06/2014 18:52:00;201406051852;;
25004903965600001;000;00;000;;250;06;010;FREJUS;03/07/2014 20:06:00;201407032006;;
25004903965600001;000;00;000;;250;06;010;FREJUS;18/07/2014 19:02:00;201407181902;;
25004903965600001;000;00;000;;250;06;010;FREJUS;10/07/2014 19:29:00;201407101929;;
25004903965600001;000;00;000;;250;06;010;FREJUS;18/07/2014 08:17:00;201407180817;;
25004903965600001;000;00;000;;250;06;010;FREJUS;10/07/2014 08:58:00;201407100858;;
25004903965600001;000;00;000;;250;06;010;FREJUS;03/07/2014 08:30:00;201407030830;;
25004903965600001;000;00;000;;250;06;010;FREJUS;24/07/2014 08:23:00;201407240823;;
25004903965600001;000;00;000;;250;06;010;FREJUS;24/07/2014 20:29:00;201407242029;;
25004903965600001;000;00;000;;250;06;010;FREJUS;23/08/2014 00:56:00;201408230056;;
25004903965600001;000;00;000;;250;06;010;FREJUS;11/08/2014 01:06:00;201408110106;;
25004903965600001;000;00;000;;250;06;010;FREJUS;28/08/2014 19:50:00;201408281950;;
25004903965600001;000;00;000;;250;06;010;FREJUS;29/08/2014 08:26:00;201408290826;;
25004903965600001;000;00;000;;250;06;010;FREJUS;22/08/2014 17:36:00;201408221736;;
25004903965600001;000;00;000;;250;06;010;FREJUS;10/08/2014 18:12:00;201408101812;;
25004903965600001;000;00;000;;250;06;010;FREJUS;15/08/2014 14:51:00;201408151451;;
25004903965600001;000;00;000;;250;06;010;FREJUS;22/08/2014 19:59:00;201408221959;;
25004903965600001;000;00;000;;250;06;010;FREJUS;28/08/2014 08:20:00;201408280820;;
25004903965600001;000;00;000;;250;06;010;FREJUS;21/08/2014 19:36:00;201408211936;;
25004903965600001;000;00;000;;250;06;010;FREJUS;15/08/2014 19:03:00;201408151903;;
25004903965600001;000;00;000;;250;06;010;FREJUS;22/08/2014 08:15:00;201408220815;;
